Адрес,Код,IP,CR,AR,DR,SP,BR,AC,NZVC,Адрес,Новый код
287,0200,288,0200,287,0200,000,0287,0000,0100
288,EEFD,289,EEFD,286,0000,000,FFFD,0000,0100,286,0000
289,AF05,28A,AF05,289,0005,000,0005,0005,0000
28A,EEFA,28B,EEFA,285,0005,000,FFFA,0005,0000,285,0005
28B,AEF7,28C,AEF7,283,0555,000,FFF7,0555,0000
28C,EEF7,28D,EEF7,284,0555,000,FFF7,0555,0000,284,0555
28D,AAF6,28E,AAF6,555,0017,000,FFF6,0017,0000,284,0556
28E,F301,290,F301,28E,F301,000,0001,0017,0000
290,8285,291,8285,285,0004,000,0003,0017,0000,285,0004
291,CEFB,28D,CEFB,291,028D,000,FFFB,0017,0000
28D,AAF6,28E,AAF6,556,007C,000,FFF6,007C,0000,284,0557
28E,F301,290,F301,28E,F301,000,0001,007C,0000
290,8285,291,8285,285,0003,000,0002,007C,0000,285,0003
291,CEFB,28D,CEFB,291,028D,000,FFFB,007C,0000
28D,AAF6,28E,AAF6,557,FF16,000,FFF6,FF16,1000,284,0558
28E,F301,28F,F301,28E,F301,000,028E,FF16,1000
28F,4AF6,290,4AF6,000,0000,000,FFF6,FF16,1000,286,0001
290,8285,291,8285,285,0002,000,0001,FF16,1000,285,0002
291,CEFB,28D,CEFB,291,028D,000,FFFB,FF16,1000
28D,AAF6,28E,AAF6,558,FD72,000,FFF6,FD72,1000,284,0559
28E,F301,28F,F301,28E,F301,000,028E,FD72,1000
28F,4AF6,290,4AF6,001,0000,000,FFF6,FD72,1000,286,0002
290,8285,291,8285,285,0001,000,0000,FD72,1000,285,0001
291,CEFB,28D,CEFB,291,028D,000,FFFB,FD72,1000
28D,AAF6,28E,AAF6,559,0119,000,FFF6,0119,0000,284,055A
28E,F301,290,F301,28E,F301,000,0001,0119,0000
290,8285,292,8285,285,0000,000,FFFF,0119,0000,285,0000
292,0100,293,0100,292,0100,000,0292,0119,0000
